,Unnamed: 0,room_id,unit_type_name,property_type,number_of_bookings,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,lat,lng,distance_to_coastline,property_bedrooms,average_baseline_price,area_name,design_name
0,1,378260.0,Downstairs Room 2A,4.0,54,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,375783.2774537036,Ngupasan,
1,2,378261.0,Entire,1.0,12,3.0,2.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-7.8317661,110.3806358,2259.288483838384,3.0,994590.5536805555,Yogyakarta,
2,3,378266.0,Upstairs Room 3B,4.0,87,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,342269.6909770114,Ngupasan,
3,4,378267.0,Upstairs Room 3A,4.0,49,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,404418.7471550048,Ngupasan,
4,5,378267.0,Upstairs Room 3A,4.0,49,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,404418.7471550048,Ngupasan,
5,6,378268.0,Downstairs Room 2B,4.0,57,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,383891.6361988304,Ngupasan,
6,7,378269.0,Upstairs Room 3A,4.0,4,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,650873.75,Ngupasan,
7,8,378269.0,Upstairs Room 3A,4.0,4,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-7.802683,110.360967,14402.1,6.0,650873.75,Ngupasan,
8,9,381223.0,Apartment Merapi View,3.0,10,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-7.7584523,110.3804561,2259.288483838384,5.0,589353.6925357142,Yogyakarta,
9,11,381228.0,Entire,1.0,20,3.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-7.7287222,110.3845639,2259.288483838384,3.0,3042383.260583333,Sinduharjo,
